SearchName,PreferredFoot
Pele~Pelé,Right
Lionel Messi,Left
Cristiano Ronaldo,Right
Matias Fernandez~Matías Fernández,Right
Paolo Maldini,Right
Juan Cuadrado,Right
Franco Baresi,Right
Nani,Right
Quaresma,Right
Marco van Basten,Right
Neymar,Right
Adel Taarabt,Right
Dennis Bergkamp,Right
Hristo Stoichkov,Left
Luis Figo~Luís Figo,Right
Ruud van Nistelrooy,Right
Memphis Depay,Right
Manuel Neuer,Right
Peter Schmeichel,Right
Butragueno~Butragueño,Right
Ruud Gullit,Right
Iniesta,Right
Alan Shearer,Right
Marcel Desailly,Right
Fabio Cannavaro,Right
Hatem Ben Arfa,Left
Edwin van der Sar,Right
Fernando Hierro,Right
George Weah,Right
Michael Arroyo,Right
Luis Suarez~Luis Suárez,Right
Gary Lineker,Right
Michael Laudrup,Right
Laurent Blanc,Right
David Seaman,Right
Roy Keane,Right
Jens Lehmann,Right
Khethokwakhe Masuku,Right
Nadir Ciftci~Nadir Çiftçi,Right
Patrick Vieira,Right
Robert Pires~Robert Pirès,Right
Michael Owen,Right
Patrick Kluivert,Right
David Silva,Left
Arjen Robben,Left
Bastian Schweinsteiger,Right
Franck Ribery~Franck Ribéry,Right
Eden Hazard,Right
Bobby Moore,Right
Davor Suker~Davor Šuker,Left
Brian Laudrup,Right
Zlatan Ibrahimovic~Zlatan Ibrahimovic,Right
Sergio Ramos,Right
Falcao,Right
Jay-Jay Okocha,Right
Christian Vieri,Left
Filippo Inzaghi,Right
Gianfranco Zola,Right
Hernan Crespo~Hernán Crespo,Right
Henrik Larsson,Right
Pauleta,Right
Philipp Lahm,Right
Thiago Silva,Right
Andreas Brehme,Left
Luka Modric~Luka Modric,Right
Robert Lewandowski,Right
Paulo Futre,Left
Oliver Bierhoff,Right
Sergio Aguero~Sergio Agüero,Right
Angel Di Maria~Ángel Di María,Left
James Rodriguez~James Rodríguez,Left
Karim Benzema,Right
Santi Cazorla,Right
Paul Pogba,Right
Gonzalo Higuain~Gonzalo Higuaín,Right
Robbie Fowler,Left
Gary Neville,Right
Sol Campbell,Right
Teddy Sheringham,Right
Freddie Ljungberg,Right
Xavi,Right
Gheorghe Hagi,Left
Rui Costa,Right
Vincent Kompany,Right
Mesut Ozil~Mesut Özil,Left
Frank De Boer,Left
Mats Hummels,Right
Robin van Persie,Left
Gareth Bale,Left
Thomas Muller~Thomas Müller,Right
Thibaut Courtois,Left
Stefan Effenberg,Right
Carlos Valderrama,Right
Marco Reus,Right
Alexis Sanchez~Alexis Sánchez,Right
Kevin De Bruyne,Right
Pedro,Right
Petr Cech~Petr Cech,Left
Oscar,Right
Hugo Lloris,Left
Javi Martinez,Right
Juan Mata,Left
Diego Costa,Right
Christian Eriksen,Right
Claudio Marchisio,Right
Jerome Boateng~Jérôme Boateng,Right
Sergio Busquets,Right
Mario Gotze~Mario Götze,Right
Antoine Griezmann,Left
Antonio Candreva,Right
Hulk,Left
Xherdan Shaqiri,Left
Carlos Vela,Left
Dimitri Payet,Right
Salomon Rondon~Salomón Rondón,Right
Samuel Eto'o,Right
Casillas,Left
Andrea Pirlo,Right
Xabi Alonso,Right
Daniele De Rossi,Right
Giorgio Chiellini,Left
Arda Turan,Right
Hernanes,Right
Klaas-Jan Huntelaar,Right
Pique~Piqué,Right
Cesc Fabregas~Cesc Fàbregas,Right
Samir Nasri,Right
Salvatore Sirigu,Right
Mehdi Benatia,Right
Sami Khedira,Right
Diego Godin~Diego Godín,Right
Mario Balotelli,Right
Shinji Kagawa,Right
Florian Thauvin,Left
Zoran Tosic~Zoran Tošic,Left
Balazs Dzsudzsak~Balázs Dzsudzsák,Left
Ibrahim Afellay,Right
Kaka~Kaká,Right
Rodrigo,Left
Dusan Tadic~Dušan Tadic,Left
Ivan Perisic~Ivan Perišic,Right
Clint Dempsey,Right
Alexandre Lacazette,Right
Alan Dzagoev,Right
Thierry Henry,Right
Roman Weidenfeller,Left
John Terry,Right
Per Mertesacker,Right
Jeremy Toulalan~Jérémy Toulalan,Right
Pepe,Right
Andrea Barzagli,Right
Nemanja Vidic~Nemanja Vidic,Right
Javier Mascherano,Right
Dani Alves,Right
Jesus Navas~Jesús Navas,Right
Diego Lopez~Diego López,Right
Igor Akinfeev,Right
Jefferson Farfan~Jefferson Farfán,Right
Joao Moutinho~João Moutinho,Right
Samir Handanovic~Samir Handanovic,Right
Stephane Ruffier~Stéphane Ruffier,Right
Miranda,Right
Ivan Rakitic~Ivan Rakitic,Right
Ezequiel Garay,Right
Blaise Matuidi,Left
Daniel Sturridge,Left
Stevan Jovetic~Stevan Jovetic,Right
Coutinho,Right
Claudio Bravo,Right
Andre Schurrle~André Schürrle,Right
Edin Dzeko~Edin Džeko,Right
Mario Mandzukic~Mario Mandžukic,Right
Jeremy Menez~Jérémy Ménez,Right
Ilkay Gundogan~Ilkay Gündogan,Right
Kevin-Prince Boateng,Right
De Gea,Right
Sidney Sam,Left
Isco,Right
Negredo,Left
Jimmy Durmaz,Left
Marco Pappa,Left
Fernando Belluschi,Right
Gianluigi Buffon,Right
Julian Draxler,Right
Tim Howard,Right
Danny,Right
Julio Cesar~Júlio César,Left
Thiago Motta,Left
Rene Adler~René Adler,Right
Seydou Doumbia,Right
Alex,Right
Diego,Right
Pablo Zabaleta,Right
Yoann Gourcuff,Right
Mario Gomez,Right
Joe Hart,Right
Rodrigo Palacio,Right
Dante,Left
Ezequiel Lavezzi,Right
Borja Valero,Right
Giuseppe Rossi,Left
Leighton Baines,Left
Steve Mandanda,Right
Filipe Luis~Filipe Luís,Left
Jakub Blaszczykowski,Right
Asmir Begovic~Asmir Begovic,Right
Jan Vertonghen,Left
Sokratis,Right
Simon Mignolet,Right
Lukasz Piszczek,Right
Dries Mertens,Right
Marcelo,Left
Benedikt Howedes~Benedikt Höwedes,Right
Alessio Cerci,Left
Willian,Right
Mbark Boussoufa,Right
Fernando Muslera,Right
Neven Subotic~Neven Subotic,Right
Nicolas Gaitan~Nicolás Gaitán,Left
Luiz Gustavo,Left
Fredy Guarin~Fredy Guarín,Right
Mathieu Valbuena,Right
Nemanja Matic~Nemanja Matic,Left
Marc-Andre ter Stegen~Marc-André ter Stegen,Right
Bernd Leno,Right
Koke,Right
Jackson Martinez~Jackson Martínez,Right
Andre Carrillo~André Carrillo,Right
Lucas,Right
Leonardo Valencia,Right
Eric Maxim Choupo-Moting,Right
Leonardo,Right
Adam Maher,Right
Kwadwo Asamoah,Left
Valeri Qazaishvili,Right
Cuauhtemoc Blanco~Cuauhtémoc Blanco,Right
Miroslav Klose,Right
Jose Reina~José Reina,Right
Dimitar Berbatov,Right
Didier Drogba,Right
Ashley Cole,Left
Rafael van der Vaart,Left
Nigel de Jong,Right
